sub	ses	task	run	n_volumes	mean_fd_p	median_fd_p	max_fd_p	prop_fd_p_over_thresh	n_fd_p_over_thresh	mean_dvars	site	avg_en	exclude_euler	exclude_mriqc	exclude	exclude_reason
sub-ADNI019S4549	ses-M000	task-rest		140	0.1762662988871493	0.1509317138317686	0.4590538688887703	0.0	0	1.2136974100719424	19	-8.0	0	0	0	
sub-ADNI019S4549	ses-M003	task-rest		140	0.168524318194827	0.1405478762481743	0.5568235807812253	0.0	0	1.2507843165467625	19	-5.0	0	0	0	
sub-ADNI019S4549	ses-M006	task-rest		140	0.2660758215140155	0.2191349143256913	1.022222281246014	0.0214285714285714	3	1.1845545395683452	19	-13.0	0	0	0	
sub-ADNI019S4549	ses-M012	task-rest		140	0.2962411201331784	0.2734549352261068	0.9082301584964868	0.0142857142857142	2	1.3144747266187051	19	-15.0	0	0	0	
sub-ADNI019S4680	ses-M000	task-rest		140	0.2470127358485057	0.2363426885718617	0.7238436651140866	0.0	0	1.2638704100719425	19	-3.0	0	0	0	
sub-ADNI019S4680	ses-M003	task-rest		140	0.2080753920941413	0.1945857458134436	0.4956173475411008	0.0	0	1.21041645323741	19	0.0	0	0	0	
sub-ADNI019S4680	ses-M006	task-rest		140	0.2178881473867991	0.1914717432894882	0.5663119923316442	0.0	0	1.202827402877698	19	-4.0	0	0	0	
sub-ADNI019S4680	ses-M012	task-rest		140	0.1992595297858738	0.1843832843889045	0.5520576824605599	0.0	0	1.066870525179856	19	-8.0	0	0	0	
sub-ADNI019S4680	ses-M024	task-rest		200	0.2735697296666528	0.2357476248687441	1.0218289302357164	0.025	5	0.9963883316582914	19	-3.0	0	0	0	
sub-ADNI019S4835	ses-M000	task-rest		140	0.2720456072927208	0.1269297700093029	1.7631268949397791	0.1	14	1.152502179856115	19	-5.0	0	0	0	
sub-ADNI019S4835	ses-M003	task-rest		140	0.2037443780573639	0.1245190360451499	1.290912021684158	0.0428571428571428	6	1.090328726618705	19	-19.0	0	0	0	
sub-ADNI019S4835	ses-M006	task-rest		140	0.3782226654804955	0.2978173093229208	1.8898245080695195	0.0928571428571428	13	1.1230655611510791	19	-32.0	0	0	0	
sub-ADNI019S4835	ses-M012	task-rest		140	0.2708617226107949	0.1821506973033876	2.5752194936036554	0.0428571428571428	6	1.05392435971223	19	-14.0	0	0	0	
sub-ADNI019S4835	ses-M024	task-rest		200	0.2217208473846327	0.1650328515488202	1.6867038623196635	0.035	7	1.0578569246231155	19	-11.0	0	0	0	
sub-ADNI019S4835	ses-M048	task-rest		200	0.3981535752238334	0.2355540728771524	2.4959694391591243	0.125	25	1.1854634824120602	19	-18.0	0	0	0	
sub-ADNI019S4835	ses-M060	task-rest		197	0.2136265555108875	0.1323509296638536	1.0423552301977077	0.0406091370558375	8	1.3774051581632651	19	-30.0	0	0	0	
sub-ADNI019S4835	ses-M072	task-rest		197	0.166091262605756	0.1341852472244994	0.7060379307787565	0.0	0	1.2138929438775512	19	-23.0	0	0	0	
sub-ADNI019S4835	ses-M084	task-rest		197	0.1671947480802912	0.1364446007652165	0.8062053949828926	0.0050761421319796	1	1.2391501785714285	19	-24.0	0	0	0	
sub-ADNI019S5012	ses-M000	task-rest		140	0.1494818874452941	0.1271476348529652	0.4257909224794714	0.0	0	1.166407	19	-10.0	0	0	0	
sub-ADNI019S5012	ses-M003	task-rest		140	0.1621714685439883	0.1385384523714644	0.5013382415494725	0.0	0	1.143185525179856	19	-6.0	0	0	0	
sub-ADNI019S5012	ses-M006	task-rest		140	0.2560047983175327	0.2607280636124748	0.7248827703774898	0.0	0	1.1749777410071944	19	-6.0	0	0	0	
sub-ADNI019S5012	ses-M012	task-rest		140	0.3508128462035169	0.3178863040107507	1.312555581721703	0.0214285714285714	3	1.3071094964028778	19	-18.0	0	0	0	
sub-ADNI019S5242	ses-M000	task-rest		140	0.326355572290691	0.2677570802836742	2.003682506344364	0.0357142857142857	5	1.278887676258993	19	-2.0	0	0	0	
sub-ADNI019S5242	ses-M006	task-rest		140	0.2974343465949185	0.2550430765234447	0.820546729247295	0.0142857142857142	2	1.1489010791366907	19	-1.0	0	0	0	
sub-ADNI019S5242	ses-M024	task-rest		200	0.2201693542915427	0.1866362835898459	0.9303448495146804	0.01	2	1.290234190954774	19	-8.0	0	0	0	
sub-ADNI019S6186	ses-M000	task-rest		197	0.2072828534055011	0.1776417627421955	0.6586925370175043	0.0	0	1.2426634336734692	19	-54.0	0	0	0	
sub-ADNI019S6483	ses-M000	task-rest		197	0.1297260696343548	0.1237489402157014	0.3945344105180653	0.0	0	1.3982037959183675	19	-11.0	0	0	0	
sub-ADNI019S6483	ses-M012	task-rest		197	0.4408553407147976	0.4157750802021198	1.247963765752451	0.0812182741116751	16	1.2352147806122449	19	-4.0	0	0	0	
sub-ADNI019S6483	ses-M024	task-rest		197	0.2010540140247509	0.1884842666126384	0.4866319741118366	0.0	0	1.3618977295918369	19	-5.0	0	0	0	
sub-ADNI019S6483	ses-M036	task-rest		197	0.2495919235946831	0.188641682702762	1.0415691216380345	0.0304568527918781	6	1.3484600918367349	19	-6.0	0	0	0	
sub-ADNI019S6533	ses-M012	task-rest		197	0.1177067553848044	0.0982964489083766	0.6181476713525598	0.0	0	1.69255793877551	19	-14.0	0	0	0	
sub-ADNI019S6573	ses-M000	task-rest		197	0.1147594262621187	0.0975740798599437	0.5768016556539541	0.0	0	1.5933086632653062	19	-40.0	0	0	0	
